R0	Acetylcysteine in paracetamol poisoning letter comment
R414	Stepwise phosphorylation of myoinositol leading to myoinositol hexakisphosphate in Dictyostelium
R415	Prediction of postoperative clinical course by autologous tumorkilling activity in lung cancer patients
R416	Ocular prostheses letter comment
R417	Cleft palate fistulas a multivariate statistical analysis of prevalence etiology and surgical management
R418	Neuroophthalmology
R419	Aldosterone synthesis in saltwasting congenital adrenal hyperplasia with complete absence of adrenal 21hydroxylase
R420	A piece of my mind Thanks for the memories
R421	The erythrocyte sedimentation rate in congestive heart failure
R422	A nonconservative serine to cysteine mutation in the sulfatebinding protein a transport receptor
R423	Spinal haematoma following epidural analgesia Report of a patient with ankylosing spondylitis and a bleeding diathesis
R424	Anagyrineinduced red cell aplasia vascular anomaly and skeletal dysplasia
R425	A long term view of myringoplasty in children
R426	Baikal seal virus letter
R427	Coronary artery diameters in the heart with complete transposition of the great vessels
R428	Human plasma extrinsic pathway inhibitor activity II Plasma levels in disseminated intravascular coagulation and hepatocellular disease
R429	Effect of topical fosfomycin on polymyxin B ototoxicity
R430	Leukotriene C4 production by normaldensity and lowdensity eosinophils of atopic individuals and other patients with eosinophilia
R431	Admissions to methadone maintenance comparisons between programs and implications for treatment
R432	Recurrent acute leg cellulitis after hysterectomy with pelvic lymphadenectomy
R433	Increased plasma atrial natriuretic factor and reduced plasma renin in patients with poorly controlled diabetes mellitus
R434	Simon nitinol inferior vena cava filter initial clinical experience Work in progress
R435	Purchase of extracorporeal lithotriptor letter
R436	Interaction between thioridazine and naltrexone letter
R437	Slow phase of transvascular fluid flux reviewed
R438	Nitrates are effective in the treatment of chronic congestive heart failure the protagonists view
R439	Endoscopic correction of vesicoureteric reflux by subureteric Teflon injection followup ultrasound and voiding cystography
R440	Philadelphianegative chronic myelogenous leukemia with breakpoint cluster region rearrangement molecular analysis clinical characteristics and response to therapy
R441	Effects of cigarette smoking on outcome of femoral popliteal bypass for limb salvage
R442	An indepth study of longterm users of transcutaneous electrical nerve stimulation TENS Implications for clinical use of TENS
R443	Hematopoiesis on cellulose ester membranes XI Induction of new bone and a hematopoietic microenvironment by matrix factors secreted by marrow stromal cells
R444	Diabetic control and fetal malformations letter
R445	Carolis syndrome a heterogeneous entity
R446	Hospital death on a cardiac surgical service negative influence of changing practice patterns see comments
R447	Retrograde replacement of internal doubleJ ureteral stents
R448	Identity of the 19S prosome particle with the large multifunctional protease complex of mammalian cells the proteasome
R449	Videotape dietary assessment validity reliability and comparison of results with 24hour dietary recalls from elderly women in a retirement home
R450	Abnormal eating attitudes and body image in older undernourished individuals
R451	IgM deficiency clinical spectrum and immunologic assessment
R452	Usefulness of early radionuclide angiography for identifying lowrisk patients for late restenosis after percutaneous transluminal coronary angioplasty
R453	Hospitalphysician link generates 4 million
R454	Brain circuit delivery tube obstructions letter
R455	Importance of antithrombin therapy during coronary angioplasty
R456	Acute and chronic effects of exercise using an Exercycle in healthy untrained adults
R457	NHS review RCGPs reaction letter
R458	Inhibition of HIV1 replication by an antiviral xanthate compound in vitro
R459	Morphology and rheology of the rectum in patients with chronic idiopathic constipation
R460	Nafarelin acetate and benign prostatic hyperplasia letter
R461	Platelets and thrombolytic therapy see comments
R462	The yield of routine duodenal aspiration for Giardia lamblia during esophagogastroduodenoscopy see comments
R463	Seasonal variation of skin resistance to irritants
R464	The transmitral pressureflow velocity relation Effect of abrupt preload reduction
R465	Pulmonary complications of intravenous drug misuse 2 Infective and HIV related complications
R466	Traumaprecipitated migrainous hemiparesis
R467	Camus and La peste letter
R468	Microsaccadic flutter
R469	General internal medicine and technologically less developed countries see comments
R470	Neuromuscular disease of the gastrointestinal tract
R471	Attitudes to viability of preterm infants letter comment
R472	Bilateral chondroma of the auricle
R473	Alpha 1adrenergicinduced airway obstruction in ponies with recurrent pulmonary disease
R474	Exercise echocardiography editorial
R475	New developments in resistance to betalactam antibiotics among nonfastidious gramnegative organisms Proceedings of a symposium BownessonWindermere UK 1416 September 1987
R476	The Canadian community hospital
R477	Diagnosis of mitral valve aneurysm by transoesophageal echocardiography
R478	Coffee coronary heart disease and mortality in middleaged Swedish men findings from the Primary Prevention Study
R479	Immunological disturbances in anaesthetic personnel chronically exposed to high occupational concentrations of nitrous oxide and halothane
R480	Our future colleagues
R481	Bells palsy factors affecting the prognosis in 200 patients with reference to hypertension and diabetes mellitus
R482	A new biomarker in monitoring breast cancer CA 549
R483	Angiotensinconvertingenzyme inhibitors and anaphylactoid reactions to highflux membrane dialysis letter comment
R484	Results of laserassisted balloon angioplasty for peripheral arterial obstruction using a lensed fibertip delivery catheter
R485	Tissueexpanded radial forearm free flap in neck burn contracture
R486	Beta human chorionic gonadotrophin in serum and urine A marker for metastatic urothelial cancer
R487	IV International Conference on AIDS June 12 1988 Keynote address
R488	Traumatic asphyxia report of a case
R489	Diagnostic and psychopharmacological treatment characteristics of 536 inpatients with posttraumatic stress disorder
R490	Anatomic location and variety of nonmalignant neck masses seen in surgical practice
R491	Natural malaria infections in anophelines in Rondonia State Brazilian Amazon
R492	The use of claims data to evaluate health care letter
R493	Effect of excitatory amino acid receptor blocker MK801 on overall neurologic and morphologic outcome after prolonged cardiac arrest in dogs
R494	A comparison of the risk of vertebral fracture in menopausal osteopenia and other metabolic disturbances
R495	Neuropathic bone and joint disease
R496	StilesCrawford effect and color matching in Stargardts disease letter
R497	Detection of Rift Valley fever viral activity in Kenya by satellite remote sensing imagery
R498	Development of cell injury in sustained acute ischemia
R499	Interaction between nonsteroidal antiinflammatory drugs and loop diuretics modulation by sodium balance
R500	When a uniquely effective drug is teratogenic the case of isotretinoin letter
R501	Identification and subcellular distribution of cornified envelope precursor proteins in the transformed human keratinocyte line SVK14
R502	Aluminuminduced granulomas in a tattoo
R503	Endoscopic management of chronic organoaxial volvulus of the stomach
R504	Orthotopic liver transplantation in patients with complete obliteration of the portal vein
R505	Allospecific cytotoxic T lymphocytes recognize an H2 peptide in the context of a murine major histocompatibility complex class I molecule
R506	Halo vest versus spinal fusion for cervical injury evidence from an outcome study see comments
R507	Frequency significance and therapy of the MalloryWeiss syndrome in patients with portal hypertension letter comment
R508	Familial vocal cord dysfunction associated with digital anomalies
R509	HTLVI and neurological disease in South India letter
R510	The effect of maternal CO2 breathing on lung development of fetuses in the rabbit Morphologic and morphometric studies
R511	Decision making in near death letter comment
R512	How to evaluate a diagnostic marker test Lessons from the rise and fall of dexamethasone suppression test
R513	Swallowing disorders following skull base surgery
R514	A sonographic screening method for Down syndrome
R515	DSA in acute gastrointestinal hemorrhage clinical and in vitro studies
R516	Sexual drive of patients in psychiatric hospitals letter
R517	Does cigarette smoking have an independent effect on coronary heart disease incidence in the elderly
R518	Diminished aldosterone responses to angiotensin II and adrenocorticotropin in hypocalcemic subjects restoration of responsiveness with normocalcemia
R519	A rapid and simple colorimetric test for the study of antiHIV agents
R520	Technical aspects of abdominal CT in infants and children
R521	Impending sudden cardiac death treatment with myocardial revascularization and the automatic implantable cardioverter defibrillator
R522	Metastatic carcinoma to pituitary adenoma Report of two cases
R523	The failed ulnar nerve transposition Etiology and treatment
R524	348 cases of suspected neonatal alloimmune thrombocytopenia
R525	Eosinophilinduced neurotoxicity axonal neuropathy cerebral infarction and dementia
R526	Carboplatin etoposide and ifosfamide as intensive chemotherapy for smallcell lung cancer
R527	Transpupillary argon laser cyclophotocoagulation in the treatment of glaucoma
R528	Rejection of mouse sarcoma cells after transfection of MHC class II genes
R529	Prevention of fetal growth retardation with lowdose aspirin findings of the EPREDA trial
R530	Purification of bovine thyroidstimulating hormone by a monoclonal antibody
R531	Management of pharyngitis letter
R532	Neurological deterioration following treatment for hyponatremia
R533	It may seem obvious to you giving medication instructions to patients letter
R534	A research program in pediatric pharmacy practice editorial
R535	Postpartum idiopathic brachial neuritis
R536	Iodineinduced thyroiditis and hypothyroidism in the hemithyroidectomized BBW rat
R537	Type II collagen distribution in the ear of the developing chick embryo
R538	Serum concentrations of growth hormone insulin free thyroxine thyrotropin and cortisol in verylowbirthweight infants receiving total parenteral nutrition
R539	Active management of labour letter
R540	Postpartum pap smear letter comment
R541	X linked hypophosphataemia treatment height gain and nephrocalcinosis
R542	Outcome of respiratory failure in hematologic malignancy
R543	Rigid removable dressing in a case of poor wound healing
R544	Panic disorder and agoraphobia Nondrug treatment options for primary care physicians
R545	Noninvasive estimation of the left ventricular pressure waveform throughout ejection in young patients with aortic stenosis
R546	Esophageal obstruction caused by sucralfate impaction letter
R547	Tomography in deep vein thrombosis letter comment
R548	Technical and clinical evaluation of a new synthetic low flux polysulphon membrane for hemodialysis
R549	Tear gasharassing agent or toxic chemical weapon
R550	Ciprofloxacin in vitro activity mechanism of action and resistance
R551	Treatment of myasthenia gravis an audit
R552	34Methylenedioxymethamphetamine MDMA and other amphetamine derivatives
R553	Endobronchial treatment for tracheobronchial tumours editorial
R554	Peritoneal clearances Longterm study
R555	Human T lymphotropic virus I infection deregulates surface expression of the transferrin receptor
R556	HIV and cotrimoxazole toxicity letter
R557	Changes of antithrombin III and antithrombin IIIheparin complex levels and ACT in cardiac surgery
R558	Cost of antibiotic therapy for infants and children
R559	Fundus photographic risk factors for progression of diabetic retinopathy ETDRS report number 12 Early Treatment Diabetic Retinopathy Study Research Group
R560	Classics in thoracic surgery F Mason Sones Jr 19181985
R561	Treatment of condyloma acuminatum with three different interferons administered intralesionally A doubleblind placebocontrolled trial
R562	Maxwell may back Gallo news
R563	Pentamidine prophylaxis with a metereddose inhaler letter
R564	Glutaraldehyde release from vascular prostheses of biologic origin
R565	A comparative study of postoperative adhesions following laser surgery by laparoscopy versus laparotomy in the rabbit model
R566	Leucine aminopeptidase bestatin inhibition and a model for enzymecatalyzed peptide hydrolysis
R567	Inhibition of angiotensinconverting enzyme in congestive heart failure letter
R568	Safety of Picolax sodium picosulphatemagnesium citrate in inflammatory bowel disease see comments
R569	Evaluation of epidermal cell kinetics following freezing or wounding of mouse skin and their potential as initiators of carcinogenesis
R570	Adjunctive magnesium sulfate infusion does not alter metabolic changes associated with ritodrine tocolysis
R571	Leads from the MMWR Multidrugresistant tuberculosisNorth Carolina
R572	The natural history of idiopathic scoliosis
R573	Effect of enalapril treatment on the pressurenatriuresis curve in spontaneously hypertensive rats
R574	In situ hybridization for procollagen types I III and IV mRNA in normal and fibrotic rat liver evidence for predominant expression in nonparenchymal liver cells
R575	Hyperprolactinemia and depression
R576	The distinction between femoral artery pseudoaneurysms and other causes of groin masses value of duplex Doppler sonography
R577	Tego allergy in the food industry
R578	NSAIDs plasma halflives and adverse reactions letter
R579	Transrectal ultrasound in the diagnosis and staging of prostatic carcinoma
R580	V betaspecific stimulation of human T cells by staphylococcal toxins
R581	Vocal changes in patients undergoing radiation therapy for glottic carcinoma
R582	UK medical research handbagged again editorial
R583	The cardiac betamyosin heavy chain isogene is induced selectively in alpha 1adrenergic receptorstimulated hypertrophy of cultured rat heart myocytes
R584	AIDS costs of care in the developed and the developing world
R585	Impaired muscle glycogen storage after muscle biopsy
R586	Allergic dermatitis from parenteral vitamin K
R587	Longterm control of Chagas disease in Venezuela effects on serologic findings electrocardiographic abnormalities and clinical outcome
R588	MR imaging quantitative tissue characterization in pancreatic disease letter
R589	Pneumomediastinum or autoPEEP letter
R590	Persistent diarrhoea clinical efficacy and nutrient absorption with a rice based diet
R591	Preservation of compromised intestine after ischemic injury
R592	Gynaecomastia and occult Leydig cell tumour of the testis
R593	Induced abortion the CMAs position letter
R594	Detection and high performance liquid chromatography identification of the summer rises of vasopressin and oxytocin immunoreactivity in the rat pineal gland
R595	Why do the kidneys release renin in patients with congestive heart failure A nephrocentric view of convertingenzyme inhibition
R596	Living kidney donation still worth the risk
R597	Lung cancera worldwide health problem
R598	Eczema of the face scalp and neck compared with eczema elsewhere
R599	Electrical determination of water content and concentration profile in a simulation model of in vivo stratum corneum
R600	Intraarterial infusion chemotherapy for metastatic liver tumors using multiple anticancer agents suspended in a lipid contrast medium
R601	Aggressive trauma care benefits the elderly
R602	Depletion of CD4 T cells in major histocompatibility complex class IIdeficient mice
R603	Familial megaduodenum associated with hypoganglionosis
R604	In vitro cytolysis of primitive neuroectodermal tumors of the posterior fossa medulloblastoma by lymphokineactivated killer cells
R605	A biochemical correlate of the critical period for synaptic modification in the visual cortex
R606	Hypertensive dog plasma inhibits the NaK pump of cultured vascular smooth muscle
R607	Myelomeningocele and necrotizing enterocolitis letter comment
R608	Prenatal detection of cardiovascular malformations by echocardiography an indication for cytogenetic evaluation
R609	Infant vitamin B6 deficiency and preconvulsant activity in brain
R610	Synergy between cyclosporine and other immunosuppressive regimens in experimental organ transplantation
R611	ELISPOT a new approach to studying the dynamics of virusimmune system interaction for diagnosis and monitoring of HIV infection
R612	7th nerve palsy after extradural blood patch
R613	Proteases antiproteases and emphysema editorial
R614	Hyperinsulinemia and hyperandrogenemia in vivo androgen response to insulin infusion
R615	Islet endocrine cell MHC antigen expression in allograft rejection
R616	A pressure and volumelimited inflation syringe
R617	The secretion of human chorionic gonadotropin as well as the alpha and beta messenger ribonucleic acid levels are stimulated by exogenous gonadoliberin pulses applied to first trimester placenta in a superfusion culture system
R618	Fineneedle aspiration biopsy of lung tumors
R619	Internists call for PPS reform
R620	A simple method for preventing kinking of 25mm ID endotracheal tubes letter
R621	Myocutaneous flap failure early detection with GdDTPAenhanced MR imaging
R622	Knee kinematics the effects of running on cambers
R623	Pulmonary haemorrhage in HenochSchonlein purpura letter comment
R624	Techniques to control bleeding from scalp incisions letter comment
R625	Evaluation of a DNA probe for identifying Salmonella typhi in Peruvian and Indonesian bacterial isolates
R626	Optical imaging of the spatial distribution of betaparticles emerging from surfaces
R627	Plasma fibronectin values in patients with acquired immunodeficiency syndrome AIDS and AIDSrelated complex
R628	Maxwell may back Gallo news
R629	An inner city cancer prevention clinic Design methods and early results
R630	Caution in the use of marking solutions letter
R631	Haemodynamic effects of clonidine injected epidurally in halothaneanaesthetized dogs
R632	Morphometric characterization of the human neuroendocrine Merkel cells
R633	Experimental investigation of muscular neurotization in the rat
R634	Effects of a small dose of ethanol and calcium carbimideinduced acetaldehyde intoxication on human platelet aggregation associated thromboxane formation and urinary excretion of 23dinor6keto prostaglandin F1 alpha
R635	Comment Tocolysis in placenta previa letter
R636	Gastroparesis following traumatic brain injury and response to metoclopramide therapy
R637	A simple technique for doublecontrast oesophagrams
R638	The dilemma of the uninsured and underinsured editorial
R639	Ecology case of the diffusion squirrels news
R640	A novel mode of arbovirus transmission involving a nonviremic host
R641	A century of cerebral achromatopsia
R642	Primary leiomyosarcoma of the dura mater Case report
R643	The physiology of growth hormones GHs in pregnant women and partial characterization of the placental GH variant
R644	Expression of the antimetastatic gene nm23 in human breast cancer an association with good prognosis
R645	Treatment of right hemispheric cerebral infarction by hemicraniectomy
R646	A circuit modification that improves mammographic phototimer performance
R647	Effects of smoking and oral contraception on plasma betacarotene levels in healthy women
R648	Q waves in hypertrophic cardiomyopathy in relation to the distribution and severity of right and left ventricular hypertrophy see comments
R649	Periglomerular granulomatosis A limited form of Wegeners granulomatosis with exclusive renal involvement
R650	Academic mentoring and family medicines research productivity
R651	Computers and nursing diagnoses Issues in implementation
R652	Retinal vasculitis editorial
R653	Development of gastric dysplasia in pernicious anaemia a clinical and endoscopic follow up study of 80 patients
R654	Noncoronary thrombolysis letter comment
R655	Agerelated variation in the proportion and activity of murine liver natural killer cells and their cytotoxicity against regenerating hepatocytes
R656	Menopausal hormone replacement therapy with continuous daily oral micronized estradiol and progesterone
R657	Training for coronary angioplasty see comments
R658	Listeriosis associated with antithymocyte globulin treatment letter
R659	Orphan interferon finds a new home news
R660	Delineation of the extent of coronary atherosclerosis by highfrequency epicardial echocardiography
R661	Total enteral nutrition versus total parenteral nutrition after major torso injury attenuation of hepatic protein reprioritization
R662	Resistance to the Bacillus thuringiensis bioinsecticide in a field population of Plutella xylostella is due to a change in a midgut membrane receptor
R663	Atherosclerosis and aging a scenario in flux
R664	Multicenter private practice comparison of tripamide and hydrochlorothiazide in the treatment of hypertension
R665	Radical nervesparing prostatectomy with epidural anaesthesia in 100 patients
R666	Oral dissolution therapy for cholelithiasis mix and match
R667	Risk factors for type1 reactions in borderline leprosy patients
R668	Extracorporeal shock wave lithotripsy Is sessional access worthwhile
R669	Carcinoid tumors iodine131 MIBG scintigraphy
R670	Treatment of a large odontogenic keratocyst using the Brosch procedure
R671	Reduction by prostacyclin of acetaminopheninduced liver toxicity in the mouse
R672	Intrathecal morphine analgesia and lowdose dopamine for oliguria in severe maternal pulmonary hypertension A case report
R673	Digital rectal examination and carcinoma of the prostate
R674	Simple solution to snoring letter
R675	Assessment of laboratory quality in urine drug testing A proficiency testing pilot study
R676	Brittle books and journals editorial
R677	Order of genes on human chromosome 5q with respect to 5q interstitial deletions
R678	A bulletin board service for residents letter
R679	Na dependence of gonadotropinreleasing hormone action characterization of the NaH antiport in pituitary gonadotropes
R680	Ribonucleoprotein and protein factors bind to an HDNAforming cmyc DNA element possible regulators of the cmyc gene
R681	Treatment with desmopressin acetate in routine coronary artery bypass surgery to improve postoperative hemostasis
R682	Application of fluorescence energy transfer and polarization to monitor Escherichia coli cAMP receptor protein and lac promoter interaction
R683	IgG penetration into the cerebrospinal fluid in a rabbit model of meningitis
R684	Arthroscopic lavage and lysis of the temporomandibular joint a change in perspective
R685	Anaerobic performances in black and white subjects
R686	Metabolic rate not percent dehydration predicts rectal temperature in marathon runners
R687	Prognostic factors in synovial sarcoma
R688	Pediatric postoperative pain management
R689	Anal ileostomy with sphincter preservation in patients requiring total colectomy for benign conditions 1948 classical article
R690	Tumour necrosis factor in familial Mediterranean fever letter
R691	Granulomatous acne rosacea of the eyelids
R692	Tcell growth factor P40 promotes the proliferation of myeloid cell lines and enhances erythroid burst formation by normal murine bone marrow cells in vitro
R693	Effects of fibroblast growth factors on deoxyribonucleic acid and collagen synthesis in rat parietal bone cells
R694	The effect of prostaglandin E1 on colonic anastomotic healing A comparison study
R695	Bolus versus infusion regimens of etoposide and cisplatin in treatment of nonsmall cell lung cancer a study of the North Central Cancer Treatment group see comments
R696	Glial cell diversification in the rat optic nerve
R697	Contribution of lymphatic absorption to loss of ultrafiltration and solute clearances in continuous ambulatory peritoneal dialysis
R698	Clinical characteristics associated with myocardial infarction arrhythmias and sudden death in patients with vasospastic angina
R699	Specific binding sites for Hferritin on human lymphocytes modulation during cellular proliferation and potential implication in cell growth control
R700	Neonatal screening for hypercholesterolaemia letter
R701	A case of myopathy with tubular aggregates with increased muscle fibre sensitivity to caffeine
R702	One hundred ten consecutive primary orthotopic liver transplants under FK 506 in adults
R703	Neuropeptide Y a putative cotransmitter in noradrenergic neurons induces mast cell degranulation but not prostaglandin D2 release
R704	Amnesia following damage to the left fornix and to other sites A comparative study
R705	Duration of ischemia is vital for collateral development repeated brief coronary artery occlusions in conscious dogs
R706	Iron supplementation and physical growth of rural Indonesian children
R707	Intraperitoneal erythropoietin letter
R708	Mucoid vasculopathy of unknown etiology
R709	A randomized trial of amsacrine and rubidazone in 39 patients with acute promyelocytic leukemia
R710	Parasternal sonography of the internal mammary vessels technique normal anatomy and lymphadenopathy
R711	A panel approach to the evaluation of the sensitivity and specificity of antibodies for the diagnosis of routinely processed histologically undifferentiated human neoplasms
R712	Hemodynamic changes during twin pregnancy A Doppler and Mmode echocardiographic study
R713	USA Medigap news
R714	In vitro activities of five new quinolones against 88 genital and neonatal Haemophilus isolates
R715	ICA cavernous branches letter
R716	Respiratory mucus hypersecretion bronchorrhea a case discussionpossible mechanismss and treatment
R717	How do we define our diagnoses
R718	Invited comment the importance of emulsion composition in evaluating different lipids in vivo
R719	The Medicaidization of AIDS Trends in the financing of HIVrelated medical care see comments
R720	Controlled trial of infusion cavernosometry in impotent and potent men
R721	Rostrocaudal gradient of transgene expression in adult skeletal muscle
R722	Back pain and epidural spinal cord compression
R723	Antihuman immunodeficiency virus type 1 activities and pharmacokinetics of novel 6substituted acyclouridine derivatives
R724	The reservoirpusher in breast reconstructive surgery
R725	myc products induce the expression of catecholaminergic traits in quail neural crestderived cells
R726	Constrictive pericarditis after cardiac surgery
R727	Qualitative and quantitative assessment of flavins in cows milk
R728	Factors influencing pancreas transplant outcome Cox proportional hazard regression analysis of a single institutions experience with 357 cases
R729	Delayed immune dysfunction following hemorrhagic shock and resuscitation
R730	The treatment of gastric ulcer with antisecretory drugs Relationship of pharmacological effect to healing rates
R731	Increased secretion of atrial natriuretic polypeptide from the left ventricle in patients with dilated cardiomyopathy
R732	Stenosis due to Crohns disease letter
R733	Esophageal motility studies in patients with Raynauds phenomenon
R734	The prevention of meconium aspiration in labor using amnioinfusion see comments
R735	The roles of estradiol and progesterone in decreasing luteinizing hormone pulse frequency in the luteal phase of the menstrual cycle
R736	Approaches to monitoring clinical trials
R737	Auxiliary liver transplantation a negative viewpoint
R738	Antibodies to Chlamydia trachomatis and risk for tubal pregnancy
R739	Cisplatininduced atrial fibrillation letter
R740	Buspirone effect on tobacco withdrawal symptoms a pilot study
R741	Variation of secretory antibodies in parotid saliva to human immunodeficiency virus type 1 with HIV1 disease stage
R742	Communitybased care in western Massachusetts letter
R743	Monoclonal antibodies to human erythrocyte membrane CaMg adenosine triphosphatase pump recognize an epitope in the basolateral membrane of human kidney distal tubule cells
R744	Recent experience with reconstructive surgery following major glossectomy
R745	Comparison of hemodynamic responses during dynamic exercise in the upright and supine postures after orthotopic cardiac transplantation
R746	Compartment syndrome a quantitative study of highenergy phosphorus compounds using 31Pmagnetic resonance spectroscopy
R747	Osteonecrosis of the acetabulum following radiation therapy A report of two cases
R748	The Utstein Abbey and survival from cardiac arrest what is the connection editorial comment
R749	Health awareness and lifestyle practices of employees in extendedcare facilities
R750	Gait assessment in the elderly a gait abnormality rating scale and its relation to falls
R751	Tumor necrosis factor and immune interferon synergistically induce cytochrome b245 heavychain gene expression and nicotinamideadenine dinucleotide phosphate hydrogenase oxidase in human leukemic myeloid cells
R752	A new chart for weight control in Duchenne muscular dystrophy
R753	Psychosocial screening letter
R754	Current pharmacologic treatment of elevated serum cholesterol
R755	Cognition and adjustment after late and early operation for ruptured aneurysm
R756	The Stamey operation for correction of genuine stress incontinence in the elderly woman
R757	Multicenter evaluation of the in vitro activities of three new quinolones sparfloxacin CI960 and PD 131628 compared with the activity of ciprofloxacin against 5252 clinical bacterial isolates
R758	Interleukin2activated lymphocytes from brain tumor patients A comparison of two preparations generated in vitro
R759	The role of postoperative alkylating agent therapy in earlystage epithelial ovarian cancer see comments
R760	Heating rabbit joint by microwave applicator
R761	The timing of spontaneous closure of the ductus arteriosus in infants with respiratory distress syndrome
R762	Adverse reactions to duplex scanning letter
R763	Chronic ulcer of the leg clinical history
R764	Aerosolized pentamidine for Pneumocystis carinii pneumonia
R765	Fibrinolytic parameters in normotensive pregnancy with intrauterine fetal growth retardation and in severe preeclampsia
R766	Childhood exanthems Old and new
R767	Extraadrenal myelolipoma
R768	Colon cancer physical activity and occupational exposures A casecontrol study
R769	Bronchoscopic cryotherapy for advanced bronchial carcinoma see comments
R770	Preoperative irradiation and radical cystectomy for stages T2 and T3 squamous cell carcinoma of the bladder
R771	Immunologic characterization of Ewings sarcoma using mesenchymal and neural markers
R772	Glucocorticoids stimulate prostaglandin synthesis in human amnion cells by a receptormediated mechanism
R773	Pharmacology of contraceptive steroids a brief review
R774	Organogenesis of the middle ear structures
R775	Symptomatic renal osteodystrophy after renal transplantation treatment with 1alphahydroxycholecalciferol
R776	Blood bank support of a liver transplantation program
R777	Wing nut obstruction letter
R778	Climatotherapy of psoriasis at the Dead Sea letter
R779	Comment on the article by Lasky et al letter comment
R780	Effects of altered PaO2 and PaCO2 on left ventricular function and coronary hemodynamics in sheep
R781	Electromagnetic treatment of shoulder periarthritis a randomized controlled trial of the efficiency and tolerance of magnetotherapy
R782	Histoplasma capsulatum infections of the central nervous system A clinical review
R783	Failure to detect chloramphenicolresistant Haemophilus influenzae by routine susceptibility testing
R784	A specific inhibitor of the ran1 protein kinase regulates entry into meiosis in Schizosaccharomyces pombe
R785	Prescription drug use before and during pregnancy in a Medicaid population
R786	A comparative trial of clotrimazole troches and oral nystatin suspension in recipients of renal transplants Use in prophylaxis of oropharyngeal candidiasis
R787	Acupuncture in the treatment of bladder instability
R788	Neuropeptides and immunity
R789	Alcoholic women in treatment the question of stigma and age
R790	The effect of saline loading on uraniuminduced acute renal failure in rats
R791	Rapid immune adherence reactivity of nascent soluble antibodyDNA immune complexes in the circulation
R792	Volumetric rendering of MR images
R793	Hepatic abscesses as a complication of the sump syndrome combined surgical and endoscopic therapy Case report and review of the literature
R794	Efficacy of a new needleless insulin delivery system monitoring of blood glucose fluctuations and free insulin levels
R795	Development and use of a mathematical twopool model of distribution and metabolism of 335triiodothyronine in a recirculating rat liver perfusion system albumin does not play a role in cellular transport
R796	Is oriental folk use of bear bile vindicated yet
R797	Chemoprophylaxis and treatment of malaria letter comment
R798	Staging of maxillary cancer Which classification
R799	Disruption of the proximal anastomosis of axillobifemoral grafts two case reports see comments
R800	Monoclonal antibodies to the apical chloride channel in Necturus gallbladder inhibit the chloride conductance
R801	The effects of a thromboxane synthase inhibitor a prostacyclin analog and PGE1 on the nephritis of the NZBW F1 mouse
R802	Food stamp use and the nutrition practices of participants in the Colorado Expanded Food and Nutrition Education Program
R803	A severe coagulopathy following volume replacement with hydroxyethyl starch in a Jehovahs Witness
R804	Finger joint calcinosis followed by osteolysis in a patient with multisystem connective tissue disease and antiJo1 antibody
R805	ISIS2 and anticoagulation policy after anterior infarcts letter
R806	Synergistic interactions between antiinterleukin2 receptor IL2R MAb and CyA in sensitized rat recipients of cardiac allografts
R807	Neonatal intestinal obstruction
R808	Reversible orthostatic hypotension of pernicious anemia
R809	Noninvasive imaging of the normal temporal bone Comparison of sagittal surface coil magnetic imaging and highresolution computed tomography
R810	Laryngeal growth in infancy
R811	Preoperative prediction of significant coronary artery disease in patients with valvular heart disease letter
R812	Questions about early enteral feeding study letter
R813	Pseudomonas stutzeri N2O reductase contains CuAtype sites published erratum appears in Proc Natl Acad Sci U S A 1989 Dec86239278
R814	Size restriction in the glomerular capillary wall importance of lamina densa
R815	Presidential messages
R816	Pulmonary malacoplakia and Rhodococcus equi infection in a patient with AIDS
R817	Early and late changes in left ventricular systolic performance after percutaneous aortic balloon valvuloplasty
R818	Blackandwhite color Doppler sonography letter
R819	Clinical characteristics of metastatic orbital tumors
R820	Some aspects of the relationship between oral contraceptives lipid abnormalities and cardiovascular disease
R821	Direct coronary angioplasty in acute myocardial infarction outcome in patients with single vessel disease see comments
R822	Pharmacokinetics of fentanyl in neonatal humans and lambs effects of age
R823	Longterm prognosis of patients with acute myocardial infarction is mortality and morbidity as low as the incidence of ischemic heart disease in Japan
R824	Branch retinal arteriolar occlusion with chickenpox letter
R825	Health effects of Chernobyl letter
R826	Etoposide in the management of metastatic breast cancer
R827	Nocturnal prolactin levels in infertile women with endometriosis
R828	Zincdependent low thymic hormone level in type I diabetes
R829	Behavioral and neurochemical responses to haloperidol and SCH23390 in rats treated neonatally or as adults with 6hydroxydopamine
R830	Transepithelial elimination of benign and malignant tumors
R831	The regulation of resistance to Schistosoma mansoni by autoantiidiotypic immunity
R832	Detection of obstructive uropathy by bone scintigraphy
R833	The impact of new imaging technology on health care research and teaching an international symposium published erratum appears in AJR Am J Roentgenol 1988 Feb1502375
R834	Thyroid uptake of iodine131 and iodine133 from Chernobyl in the population of southern Sweden
R835	The changing role of antihistamines in asthma Symposium held at the 45th annual congress of the American College of Allergy and Immunology November 16 1988 Proceedings
R836	Primary lymphoma of the spleen Clinical features and outcome after splenectomy
R837	Certificate in transfusion medicine letter
R838	Neuropsychologic test performance in amateur boxers
R839	Anesthesia and intraventricular hemorrhage letter
