S0	Inflammatory pseudotumour of spleen
S426	CheyneStokes respiration presenting as sleep apnea syndrome Clinical and polysomnographic features
S427	Vascular lesions in intestinal ischemia induced by cocainealcohol abuse report of a fatal case due to overdose
S428	Facial pain treated by temporomandibular joint arthroscopy and styloidectomy report of case
S429	The antinatriuretic and kaliuretic effects of the glucocorticoids corticosterone and cortisol following pretreatment with carbenoxolone sodium a liquorice derivative in the adrenalectomized rat
S430	Cellspecific transcriptional control of the mouse DNAbinding protein mCEBP
S431	Metastasis of hepatocellular carcinoma to the proximal jejunum manifested by occult gastrointestinal bleeding
S432	Development and use of a mathematical twopool model of distribution and metabolism of 335triiodothyronine in a recirculating rat liver perfusion system albumin does not play a role in cellular transport
S433	Metabolic markers of stressinduced myocardial ischemia
S434	Cerebral infarction does not occur typically at night
S435	Comparison of survival in cardiac surgery at a Veterans Administration hospital and its affiliated university hospital
S436	Oversight letter comment
S437	Cyclosporin induced hyperuricemia and gout letter
S438	Antithrombotic agents in coronary artery disease
S439	Twoyear followup study of coronary bypass surgery Psychologic status employment status and quality of life
S440	The surgical treatment of aortic regurgitation secondary to aortitis
S441	Choledochoduodenostomy for benign and malignant biliary tract diseases
S442	Subacute cutaneous lupus erythematosus lesions precipitated by griseofulvin published erratum appears in J Am Acad Dermatol 1990 Feb222 Pt 2345
S443	Multiple polyposis coli associated with Gardners syndrome and chromosomal mosaicism a family analysis
S444	Paediatric glucose homeostasis during anaesthesia
S445	Infantile sialic acid storage disease associated with renal disease
S446	People without land
S447	Changes in sufentanil pharmacokinetics within the neonatal period
S448	Primary cardiac lymphoma
S449	Induction of antibodydependent cellular cytotoxicity in vivo by IFNalpha and its antitumor efficacy against established B16 melanoma liver metastases when combined with specific antiB16 monoclonal antibody
S450	Influence of uremia and hemodialysis on circulating interleukin1 and tumor necrosis factor alpha
S451	Immunologic influences on reproductive biology sperm gametogenesis and maturation in the male and female genital tracts
S452	Health professionals in NHS management letter
S453	Cerebral astrocytomas histopathologic correlation of MR and CT contrast enhancement with stereotactic biopsy
S454	Urinary digoxinlike immunoreactive substance in pregnancy letter
S455	Recurrent multiple epidermoid inclusion cysts following rhinoplastyan unusual complication
S456	The surgical treatment of atrial fibrillation IV Surgical technique
S457	A new beginning editorial
S458	Rearrangement of the bacterial chromosome forbidden inversions
S459	Multiple choice Viral fingerprints are found in the blood of MS patients
S460	Timedependent regulation of MHC class II antigens on capillary endothelium by TNF
S461	The future of medical microbiology letter
S462	Masseter muscle cross over flap in primary closure of oraloropharyngeal defects
S463	Immunopathology and viral reactivation A general theory of schizophrenia
S464	Peripheral neuropathy in essential mixed cryoglobulinemia
S465	Impact of growing numbers of the very old on Medicaid expenditures for nursing homes a multistate populationbased analysis
S466	Role of sulfhydryls in mucosal injury caused by ethanol relation to microvascular permeability gastric motility and cytoprotection
S467	Effects of a natural versus artificial environment on the tempo of maturation in female rhesus monkeys
S468	Echocardiographyguided endomyocardial biopsy A 5year experience
S469	Silent myocardial ischemia practical application of evolving concepts comment
S470	Time to be scientific letter comment
S471	QT interval prolongation and sudden cardiac death in diabetic autonomic neuropathy
S472	Anticoagulation for noncardiac procedures in patients with prosthetic heart valves Does low risk mean high cost
S473	Perforation of the gastrointestinal tract following renal transplantation
S474	Plasma secretin concentrations during normal human pregnancy delivery and postpartum
S475	Highquality care and hospital profits is there a link
S476	Investigator differences in the cochlear implantation of children
S477	Concentration of tumorassociated trypsin inhibitor TATI in pleural effusions
S478	CT of the stomach and duodenum
S479	Use of average of normals quality control procedure in the detection and resolution of assay discrepancies
S480	Continuous renal prosthetic therapy in acute renal failure an overview
S481	Surfactant abnormalities in patients with respiratory failure after multiple trauma
S482	The ageing ear A clinicopathological classification
S483	Causes of presenile cataracts extracted at the Halifax Infirmary Hospital 197685
S484	Human electrogastrograms comparison of techniques of recording
S485	Genes for epilepsy mapped in the mouse
S486	Patterns of physical and sexual abuse of communicatively handicapped children
S487	Ischemia may be the primary cause of the neurologic deficits in classic migraine see comments
S488	Production of tumor necrosis factoralpha by Bcell chronic lymphocytic leukemia and hairy cell leukemia cells considerations regarding bone remodeling in the chronic Bcell leukemias letter
S489	Distribution of cyclic AMP phosphodiesterase in adipose tissue from trained rats
S490	Will this mans formula revolutionize medicine interview by Michele Robinson
S491	Modulation of cholinergic neurotransmission by vasoactive intestinal peptide in ferret trachea
S492	Quinolinicphosphoribosyl transferase activity is decreased in epileptic human brain tissue
S493	Cyclic AMPan intracellular second messenger for interleukin 1
S494	Occurrence of unmodified adenine and uracil at the first position of anticodon in threonine tRNAs in Mycoplasma capricolum
S495	Ruptured renal artery aneurysm in a pregnant uninephric patient successful ex vivo repair and autotransplantation
S496	Exclusion of linkage between the human apolipoprotein B gene and abetalipoproteinemia published erratum appears in Am J Hum Genet 1990 Jul471172
S497	Positron emission tomography and histopathology in Picks disease
S498	A pertussis toxin substrate regulates alpha 1adrenergic dependent phosphatidylinositol hydrolysis in cultured rat myocytes
S499	Structure of a human pulmonary acinus
S500	Toxic epidermal necrolysis from griseofulvin letter
S501	Severe systemic hypertension during pregnancy
S502	HIV testing letter comment
S503	Reduplicative paramnesia possible anatomical and neuropsychological mechanisms
S504	Periventricular intraparenchymal echodensities in the premature newborn critical determinant of neurologic outcome
S505	AIDS Crisis  what crisis news
S506	Entrapment of the superficial peroneal nerve Diagnosis and results of decompression
S507	Bacteriologic study of autotransfusion during liver transplantation
S508	Control of Bcell proliferation
S509	Markers for transfusiontransmitted disease in different groups of blood donors see comments
S510	Caring for older patients with high blood pressure
S511	An Xp22 microdeletion associated with ocular albinism and ichthyosis approximation of breakpoints and estimation of deletion size by using cloned DNA probes and flow cytometry
S512	A rapid serum estrogen assay suitable for office use in monitoring follicular maturation
S513	Catholic hospitals join forces with nonCatholic competitors
S514	Linkage of Marfan syndrome and a phenotypically related disorder to two different fibrillin genes see comments
S515	The optimum position of arthrodesis of the ankle A gait study of the knee and ankle
S516	Absence of EpsteinBarr virus activation in HTLVIassociated tropical spastic paraparesis
S517	Mobilisation of lead by cisplatin letter
S518	Technical and clinical testing of a computerized indirect calorimeter for use in mechanically ventilated neonates
S519	Severe communityacquired pneumonia Etiology prognosis and treatment
S520	Intrauterine insemination of cryopreserved donor semen
S521	The computer and clinical decisionsupport systems in primary care comment
S522	Reversible ataxia following chronic exposure to paradichlorobenzene letter
S523	Geopathology of early gastric cancer letter comment
S524	Electrical stimulation effects on cutaneous wound healing in rabbits A followup study
S525	Sevoflurane anesthesia with adenosine triphosphate for resection of pheochromocytoma
S526	Serological diagnosis of Salmonella infections letter comment
S527	Molecular cloning of alpha 5IV collagen and assignment of the gene to the region of the X chromosome containing the Alport syndrome locus
S528	Bronchial circulation in pulmonary artery occlusion and reperfusion
S529	Selectivity at the cleavageattachment site of phosphatidylinositolglycan anchored membrane proteins is enzymatically determined
S530	Paediatric anaesthetists perceptions of neonatal and infant pain
S531	Damages for stillborn child
S532	Value of Trucut lung biopsy in focal and diffuse lung disease
S533	Anesthetic complications in an infant with hyperexplexia
S534	Treatment of atelectasis of upper lung lobes Selective bronchial suctioning with Jshaped catheter tip and guide mark
S535	Can reason defeat unreason news
S536	Legal and ethical pitfalls in family practice psychiatry
S537	Psychotherapy of schizophrenia letter comment
S538	Effect of chemotherapy on glioma metabolism letter comment
S539	United Nations schedules May 31 as fourth World NoTobacco Day news
S540	Training of health care professionals must change says Pew Commission director
S541	Posttraumatic syringomyelia the British Columbia experience
S542	Fellowship programs in critical care medicine 19891990 Compiled and edited by the Society of Critical Care Medicine
S543	Acute renal failure with glomerular thrombosis in a patient with chronic scleroderma
S544	Placenta percreta as a cause of uterine perforation during abortion A case report
S545	Congenital myopathies letter comment
S546	Preliminary observations on glycerol in spinal cord and root disease
S547	Effect of complement on the lateral mobility of erythrocyte membrane proteins Evidence for terminal complex interaction with cytoskeletal components
S548	Fasting plasma caffeine level in cirrhotic patients relation to plasma levels of catecholamines and renin activity
S549	Comparison of rubidium82 positron emission tomography and thallium201 SPECT imaging for detection of coronary artery disease
S550	Effects of sublingual administration of nifedipine on arterial pressure plasma renin activity and glomerular filtration rate in essential hypertension
S551	Humoral cellular and hemodynamic changes induced by bloodmaterial interaction in membrane plasmapheresis
S552	Pure and mixed mucinous breast carcinomas DNA stemline and prognosis
S553	Clinical significance of simple heart rateadjusted ST segment depression in supine leg exercise in the diagnosis of coronary artery disease
S554	Craniofacial trauma an assessment of risk related to timing of surgery
S555	Cardiac parasympathetic activity during the early hours of acute myocardial infarction
S556	Clonal mapping of the human aorta Relationship of monoclonal characteristics lesion thickness and age in normal intima and atherosclerotic lesions
S557	Mutations of the adenylyl cyclase gene that block RAS function in Saccharomyces cerevisiae
S558	Hepatic microsomal enzyme induction treatment of vitamin D poisoning in a 7 month old baby
S559	Influence of longterm metoprolol treatment on early and late exercise test performance after acute myocardial infarction
S560	Rabies virus nucleoprotein expressed in and purified from insect cells is efficacious as a vaccine
S561	Coronary angioplasty at the time of initial catheterization using small diagnostic catheters
S562	Sensitivity of digoxigenin and biotin labelled probes for detection of human papillomavirus by in situ hybridisation
S563	Neutrophils express the high affinity receptor for IgG Fc gamma RI CD64 after in vivo application of recombinant human granulocyte colonystimulating factor
S564	Adjuvant chemotherapy in clinical stage M0 sarcoma of soft tissue
S565	The efficacy of indomethacin as a postoperative analgesic following total hip arthroplasty
S566	Minimizing risks for occupational bloodborne infections
S567	Lung function in schoolage children who had mild lower respiratory illnesses in early childhood
S568	Treatment of lymphangioleiomyomatosis A metaanalysis
S569	Vasculitis as a paraneoplastic syndrome Report of 11 cases and review of the literature
S570	Low positive end expiratory pressures improve the left ventricular workload versus coronary blood flow relationship
S571	Modulation of cat motor evoked potential by prior cerebellar or somatosensory stimulation
S572	The last nurse
S573	Abnormalities of fatty acid oxidation editorial
S574	Myocardial infarction prognostic scoring system
S575	Problems in the definition and treatment of early gastric cancer
S576	Alkaline phosphatase levels in renal transplant recipients receiving cyclosporin or azathioprinesteroids letter
S577	The role of leucocyte elastase in malignant tumors of the head and neck
S578	Suitability of liquidstored donor platelets in platelet compatibility testing
S579	Radiological case of the month Bronchial compression and ventilatory dysfunction in scoliosis
S580	Elevated plasma atrial natriuretic peptide levels in diabetic rats Potential mediator of hyperfiltration
S581	Ocular and orbital tumors
S582	Gallo concedes contamination again news
S583	Hightech predicament pulmonary artery catheter editorial comment
S584	HLAB7 and HLADR2 antigens and acute posterior multifocal placoid pigment epitheliopathy
S585	MSG and hydrolyzed vegetable protein induced headache review and case studies
S586	Ureteral ectopia presenting as epididymitis and infertility
S587	Disparity curvature and the perception of threedimensional surfaces
S588	Induction of calcium currents by the expression of the alpha 1subunit of the dihydropyridine receptor from skeletal muscle
S589	Mental status changes induced by eye drops in dementia of the Alzheimer type letter
S590	Drug treatment of moderate hypercholesterolemia letter
S591	Rapid enhancement of beta 2interferonBcell differentiation factor BSF2 gene expression in human fibroblasts by diacylglycerols and the calcium ionophore A23187
S592	Allergic contact dermatitis from eosin
S593	The bleeding severity index validation and comparison to other methods for classifying bleeding complications of medical therapy
S594	Gallbladder cholesterolosis an aetiological factor in acute pancreatitis of uncertain origin
S595	Tonic cardiovascular effects of angiotensin II in the ventrolateral medulla
S596	The third component of complement is transcribed and secreted by cultured human endothelial cells
S597	Cancer surveillance after augmentation mammoplasty letter
S598	Bronchoscopy and infection control letter
S599	Ethics and cancer a survey of the literature
S600	Results of the Prospective Evaluation of Radial Keratotomy PERK Study 4 years after surgery for myopia Perk Study Group see comments
S601	When is emergency baptism appropriate
S602	Normal and hydronephrotic kidney evaluation of renal function with contrastenhanced MR imaging
S603	Spontaneous subclavian vein thrombosis a successful combined approach of local thrombolytic therapy followed by firstrib resection
S604	Lung collagen more than scaffolding
S605	Sex differences in high density lipoprotein cholesterol among lowlevel alcohol consumers published erratum appears in Circulation 1991 Apr8341461
S606	Topical Bactroban mupirocin efficacy in treating burn wounds infected with methicillinresistant staphylococci
S607	The increasing importance of a cardiovascular society
S608	Mortality differentials among persons born in Cuba Mexico and Puerto Rico residing in the United States 197981
S609	Alcohol exposure in utero results in diminished Tcell function and alterations in brain corticotropinreleasing factor and ACTH content
S610	Health promotion for children Key to a lifetime of health
S611	Differential effect of aluminum on the bloodbrain barrier transport of peptides technetium and albumin
S612	Mortality rates from multiple sclerosis geographical and temporal variations revisited
S613	Clinicopathologic types of epidermolysis bullosa and their nondermatological complications
S614	Warts and diagnosis of sexual abuse letter
S615	Malignant granular cell tumor
S616	Mucobilia an unusual cause of jaundice
S617	Defects in betacell function and insulin sensitivity in normoglycemic streptozocintreated baboons a model of preclinical insulindependent diabetes
S618	Long term pathological sequelae of neonatal endotracheal intubation
S619	A comparative study of intravenous urograms and radionuclide renal scans in diagnosis of renal trauma
S620	Precocious and premature puberty associated with treatment of acute lymphoblastic leukaemia
S621	Medicare cost report needs major overhaul
S622	The National Reference System for Cholesterol
S623	Combined effect of exercise and ambient temperature on insulin absorption and postprandial glycemia in type I patients
S624	Congenital malignant melanoma
S625	Clinical experience with biliary extracorporeal shock wave lithotripsy
S626	MR imaging artifacts ferromagnetism and magnetic torque of intravascular filters stents and coils
S627	Jejunostomy or gastrostomy Why the choice is clear for the physically and mentally incapacitated
S628	What is the health impact of day care attendance on infants and preschoolers
S629	Bronchiolitis obliterans organizing pneumonia and Sjogrens syndrome
S630	Comprehensive review of morbidity and mortality trends for rheumatic fever streptococcal disease and scarlet fever the decline of rheumatic fever
S631	Pregnancies following pronuclear stage tubal transfer
S632	Immediate and longterm results of carotid endarterectomy
S633	Experience with digoxin immune Fab ovine in patients with renal impairment
S634	Traumatic dislocation of the hip
S635	Saturating the region of the polycystic kidney disease gene with NotI linking clones published erratum appears in Am J Hum Genet 1991 May4851017
S636	The concept of migraine as a state of central neuronal hyperexcitability
S637	Adrenal hemangioblastoma in Von HippelLindau disease as a cause of secondary erythrocytosis
S638	Assessment of iron stores in hospitalized patients letter comment
S639	The impact of technique and conditions of the tympanic membrane upon infrared tympanic thermometry
S640	UGI studies radiologic vs endoscopic letter
S641	Tricyclic antidepressant overdose pharmacology and treatment
S642	Bacteriuria in black infants letter
S643	Comparison of the effects of lung cancer benign lung disease and normal aging on pituitarygonadal function in men
S644	Therapeutic plasmapheresis for liver failure after hepatectomy
S645	Malignant peripheral nerve sheath tumors of the skin comment
S646	Estimation of population denominators for public health studies at the tract gender and agespecific level
S647	Omeprazole campylobacter pylori and duodenal ulcer letter comment see comments
S648	Epidemiology of severe myoclonic epilepsy of infancy
S649	Cardiovascular anomalies associated with prenatal exposure to theophylline
S650	Circadian variation of pain sensitivity in pericranial musculature
S651	Demonstration of an unusual allelic variation of mouse factor H by the complete cDNA sequence of the H2 allotype
S652	Peripheral vascular disease Treatment with balloon angioplasty
S653	Role of surgery in infective endocarditis
S654	KearnsSayre syndrome hypoparathyroidism and basal ganglia calcification letter
S655	GAL4 transcription factor is not a zinc finger but forms a ZnII2Cys6 binuclear cluster
S656	A doubleblind randomized controlled trial of ketotifen versus placebo in early diffuse scleroderma
S657	Problems with surveillance methods for alcoholism differences in coding systems among federal state and private agencies
S658	Focal brain radiotherapy editorial
S659	Finding the antioncogene
S660	When to publish pseudoscience
S661	The quality of laboratory staff and the accuracy of results letter
S662	Videoendoscopic evaluation of patients with dysphagia an adjunct to the modified barium swallow
S663	Coping with diagnosis related groups The changing role of the nursing home
S664	Longterm cognitive sequelae of acyclovirtreated herpes simplex encephalitis
S665	Mortality among the elderly in the Alameda County Study behavioral and demographic risk factors published erratum appears in Am J Public Health 1987 Jul777818
S666	Transurethral resection and intravesical therapy of superficial bladder tumors
S667	Examination of motor function in lesions of the spinal cord by stimulation of the motor cortex
S668	Early combination of bromocriptine and levodopa in the treatment of Parkinsons disease a 5year followup
S669	Risk of fetal chromosomal anomalies in patients with elevated maternal serum alphafetoprotein
S670	Pharmacokinetics of rilmenidine
S671	Activation of the inflammatory response of neutrophils by TammHorsfall glycoprotein
S672	Peak filling rate normalized to mitral stroke volume a new Doppler echocardiographic filling index validated by radionuclide angiographic techniques
S673	Mathematic models to assess platelet kinetics letter
S674	Potential gene therapy for AIDS described news
S675	Differential diagnosis of hereditary nonpolyposis colorectal cancer Lynch syndrome I and Lynch syndrome II
S676	Incidental adenocarcinoma after open prostatic adenectomy
S677	Doppler echocardiographic evaluation of tiltingdisc prosthetic heart valves in children
S678	The resection of orbicularis oculi muscle from the upper eyelid in experimental surgery on the monkey
S679	The efficacy of the addition of nifedipine in patients with mixed angina compared to patients with classic exertional angina a multicenter randomized doubleblind placebocontrolled clinical trial
S680	Quantitative sensory testing before and after regional guanethidine block in patients with neuralgia in the hand
S681	Baseline transepidermal water loss TEWL as a prediction of susceptibility to sodium lauryl sulphate
S682	Physiologic testing of the ultraendurance triathlete
S683	CTMR correlation in the evaluation of tracheobronchial neoplasia
S684	Morphology of occlusive coronary lesions during acute myocardial infarction an angiographic and clinical analysis
S685	Prevalence of stroke in the Parsi community of Bombay
S686	Plaque modification with tetracycline enhanced tissue ablation with the excimer laser
S687	Prostaglandin synthesis and response to alcoholism treatment
S688	Flowcytometric detection of human antirat insulinoma antibodies in relation to antihuman islet cell and antiinsulin antibodies Recognition of distinct antigens by antibodies in early type I diabetes
S689	Prostatectomy in the over 80yearold see comments
S690	Thromboxane B2 levels in serum during continuous administration of nimodipine to patients with aneurysmal subarachnoid hemorrhage
S691	Chronic diuretic therapy with moderate doses of triamterene is not associated with folate deficiency
S692	Fetal blood sampling from the intrahepatic vein for rapid karyotyping in the second and third trimesters
S693	Localized cerebral infarction in the premature infant an ultrasound diagnosis correlated with computed tomography and magnetic resonance imaging
S694	Crossreactions between aminoside antibiotics
S695	The effect of sensory deprivation in the reduction of pain in patients with chronic lowback pain
S696	Risk of aortic valve surgery editorial
S697	Umbilical lesion in a young child Omphalomesenteric duct OMD polyp
S698	Neutrophil chemotaxis and adherence in vitro and localization in vivo in rabbits with Staphylococcus aureus abscesses
S699	Increased survival of low birth weight infants impact on the incidence of retinopathy of prematurity
S700	Ciguatera fish poisoning
S701	Immunoglobulin deposition in the cornea after application of autologous serum
S702	Screening for colorectal cancer in a highrisk population Results of a mathematical model
S703	Human milk vitamin content after pasteurisation storage or tube feeding
S704	In vivo neurotransmitter levels in the anterior pituitary of freely behaving intact and castrated male rats determined with pushpull perfusion and high pressure liquid chromatography coupled with electrochemical detection
S705	Definition of the chronic fatigue syndrome letter
S706	One week of monitoring of portal and hepatic arterial blood flow after liver transplantation using implantable pulsed Doppler microprobes
S707	Renal transplantation in lupus erythematosus letter comment
S708	Congress considers upgrading labs news
S709	Allergens involved in occupational asthma caused by babys breath Gypsophila paniculata
S710	Inflammatory presentations of congenital head and neck masses
S711	Transforming growth factorbeta 1 TGFbeta 1 and recombinant human tumor necrosis factoralpha reciprocally regulate the generation of lymphokineactivated killer cell activity Comparison between natural porcine plateletderived TGFbeta 1 and TGFbeta 2 and recombinant human TGFbeta 1
S712	Counsellors in general practice editorial
S713	Antiproliferative effect of trapidil a plateletderived growth factor antagonist on a glioma cell line in vitro
S714	A double ballooned inflatable and collapsible T tube for selective proximal or distal cholangiography
S715	14Curea breath test for C pylori letter comment
S716	Which patient did Gallos virus come from news
S717	Human platelet osteonectin release surface expression and partial characterization
S718	Correlation of emergency health care use 911 volume and jail activity with welfare check distribution
S719	Clinical death symposium editorial
S720	Fracture of the hyoid bone
S721	Deaths from Rh haemolytic disease in England and Wales in 1984 and 1985
S722	A protocol for pediatric IV meds
S723	Organ manifestations in 100 patients with progressive systemic sclerosis a comparison between the CREST syndrome and diffuse scleroderma
S724	Hepatic bile nucleation and gallstone disease letter
S725	Evaluation of normal gestational sac growth appearance of embryonic heartbeat and embryo body movements using the transvaginal technique
S726	Thrombin regulation of platelet interaction with damaged vessel wall and isolated collagen type I at arterial flow conditions in a porcine model effects of hirudins heparin and calcium chelation
S727	Priority of peak circadian variation of bronchial responsiveness to the trough of circadian variation of bronchial caliber in asthmatic children
S728	Pulmonary arterybronchus ratios in patients with normal lungs pulmonary vascular plethora and congestive heart failure
S729	Analysis at the clonal level of Tcell phenotype and functions in severe aplastic anemia patients
S730	Straddling mitral valve with hypoplastic right ventricle crisscross atrioventricular relations double outlet right ventricle and dextrocardia morphologic diagnostic and surgical considerations
S731	Cortisol stimulation of estradiol and progesterone secretion by human granulosa cells is independent of folliclestimulating hormone effects
S732	Circadian variations of plasma atrial natriuretic peptide in four types of hypertensive disorder during pregnancy
S733	Evaluation of two commercially available test methods to determine the feasibility of testing for respiratory syncytial virus in a community hospital laboratory
S734	Carcinoma in situ of penis Is distinction between erythroplasia of Queyrat and Bowens disease relevant
S735	The endoscopic correction of reflux by polytetrafluoroethylene injection
S736	Osteogenesis imperfecta A model for genetic causes of osteoporosis and perhaps several other common diseases of connective tissue
S737	Mobile knee reconstructions after resection of malignant tumors of the distal femur
S738	Cell metabolism in patients undergoing major valvular heart surgery relationship with intra and postoperative hemodynamics oxygen transport and oxygen utilization patterns
S739	HMGCoA reductase inhibitors for hypercholesterolemia letter
S740	Gastrinoma in vitro morphological and physiological studies of primary cell cultures
S741	OKT3 and pulmonary capillary permeability
S742	Effect of betahydroxybutyrate on wholebody leucine kinetics and fractional mixed skeletal muscle protein synthesis in humans
S743	Basaloid monomorphic adenomas
S744	Delta hepatitis in homosexual men in the United States
S745	Electrohydraulic lithotripsy in the ureter
S746	Relationships between blockoftwitch and trainoffour fade in the mouse phrenic nervediaphragm preparation
S747	Electromagnetically generated extracorporeal shockwaves for fragmentation of extraand intrahepatic bile duct stones indications success and problems during a 15 months clinical experience
S748	Circle of Willis blood flow patterns in healthy newborn infants
S749	A potential animal model for LeschNyhan syndrome through introduction of HPRT mutations into mice
S750	Race and Apgar scores letter comment
S751	Using an executive search firm editorial
S752	The blood supply of the osteocutaneous free fibular graft
S753	Developments like major resection bone allografts foster progress in tissuebanking technology news
S754	Wegeners granulomatosis Immunomicroscopic and ultrastructural study of four cases see comments
S755	Regulation of transcription Fraudulent promotion news published erratum appears in Nature 1988 Apr 73326164487
S756	Values and science curricula letter
S757	Casein expression in cytotoxic T lymphocytes
S758	Effect of external cephalic version in late pregnancy on presentation at delivery a randomized controlled trial
S759	Vasopressin increases cytosolic free Ca2 in the neonatal rat cardiomyocyte Evidence for V1 subtype receptors
S760	Tcell receptor crosslinking transiently stimulates adhesiveness through LFA1
S761	Immunoregulation in the Peyers patch microenvironment Cellular basis for the enhanced responses by the B cells of Xlinked immunodeficient CBAN mice
S762	Parathyroid hormone and myocardial performance in dialysis patients
S763	Pediatric emergencies letter comment
S764	Potassium and blood pressure regulation
S765	Epileptic seizures in intracerebral haemorrhage
S766	Advantage of discrepant upper rate limits in a DDDR pacemaker
S767	Vaginal birth after cesarean section an appraisal of the reappraisal letter comment
S768	A prospective randomized clinical trial of heparin therapy for postoperative intraocular fibrin
S769	Effect of FK506 in experimental organ transplantation
S770	Arrogance revisited letter comment
S771	Postmortem changes in ultrastructures of the mouse intervertebral disc
S772	A neuropsychological study of active amateur boxers
S773	Immunosuppressive mode of action of deoxyspergualin in mice as compared with cyclosporine A and mizoribine
S774	External iliac artery occlusion by bicycle handle injury
S775	Mortality in patients on liver transplant waiting lists an avoidable tragedy
S776	Analysis of auditory comprehension performance in individuals with severe aphasia
S777	Characterization and biological activity of a rat monoclonal antibody to rathuman corticotropinreleasing factor
S778	HLA class II profile of a human carcinoma cell line detection on genomic level and after exposure to gammainterferon
S779	Acute stroke therapy trials an introduction to recurring design issues
S780	Effects of resistive exercise on skeletal muscle in marrow transplant recipients receiving total parenteral nutrition
S781	Inhibitory effects of the new PAF acether antagonist WEB2086 on pharmacologic changes induced by PAF inhalation in human beings
S782	Diaphragmatic rupture due to blunt trauma sensitivity of plain chest radiographs letter comment
S783	Etiology diagnosis and treatment of bacteremia
S784	A new role for folliclestimulating hormone in the regulation of calcium flux in Sertoli cells inhibition of NaCa exchange
S785	Norepinephrine infusions increase adenylate cyclase responsiveness in brown adipose tissue
S786	Hemodynamic effects of rapidly evacuating prolonged pneumothorax in rabbits
S787	Purification and characterization of intraparenchymal lung lymphocytes
S788	Pacemaker syndrome in activityresponsive VVI pacing
S789	RTA a candidate G proteincoupled receptor cloning sequencing and tissue distribution
S790	Physiological localization of an agonistsensitive pool of Ca2 in parotid acinar cells
S791	Thromboxane synthetase inhibition decreases polymorphonuclear leukocyte activation following hindlimb ischemia
S792	Deleading dilemma pitfall in the management of childhood lead poisoning
S793	Completion thyroidectomy for thyroid carcinoma
S794	Partial resistance to anticoagulation after streptokinase treatment for acute myocardial infarction
S795	Effort rupture of the diaphragm
S796	The effect of fetal mesencephalon implants on primate MPTPinduced parkinsonism Histochemical and behavioral studies see comments
S797	Serum osteocalcin in Pagets disease of bone basal concentrations and response to bisphosphonate treatment
S798	Radioimmunoassay of growth hormonedependent insulinlike growth factor binding protein in human plasma
S799	Muscle perfusion and oxygenation during local hyperoxia
S800	Physician reimbursement reform and family physicians
S801	Common dopaminergic mechanism for epileptic photosensitivity in progressive myoclonus epilepsies see comments
S802	Frameshift mutation near the 3 end of the COL1A1 gene of type I collagen predicts an elongated Pro alpha 1I chain and results in osteogenesis imperfecta type I published erratum appears in J Clin Invest 1990 Apr854following 1338
S803	Methods for the detection of Jk heterozygotes interpretations and applications
S804	Dermal surface morphology in wound healing An experimental scanning electron microscope study
S805	Effect of timing of cerebral ultrasonography on the prediction of later neurodevelopmental outcome in highrisk preterm infants
S806	Modulation of lymphatic pumping by lymphborne factors after endotoxin administration in sheep
S807	Estrogen receptor distribution in enucleated breast cancer cell lines
S808	Total body water estimated by measuring totalbody electrical conductivity
S809	Lung cancer in patients with head and neck cancer Incidence and longterm survival
S810	Lovastatin an inhibitor of cholesterol synthesis induces hydroxymethylglutarylcoenzyme A reductase directly on membranes of expanded smooth endoplasmic reticulum in rat hepatocytes
S811	Extrapulmonary lymphomatoid granulomatosis letter comment
S812	Vulvovaginitis and cervicitis
S813	Virusinduced immunosuppression a murine model of susceptibility to opportunistic infection
S814	Safe and simple needle recapping letter
S815	Nitrogen absorption in pancreatectomized patients protein versus protein hydrolysate as substrate
S816	A molecular mechanism of inhibition of HIV1 binding to CD4 cells by monoclonal antibodies to gp110
S817	Enzymatic estimation of the extent of irreversible myocardial injury early after reperfusion
S818	Postoperative mediastinal radiation for cancer of the lung letter
S819	Changes in human plasma catecholamine concentrations during epidural anesthesia depend on the level of block
S820	Trends in fatty acid intakes of 10yearold children 1973 to 1982
S821	Predictive accuracy of electrophysiologic localization of accessory pathways
S822	Familial hypertrophy of masticatory muscles
S823	Safety of peripheral vascular surgery after recent acute myocardial infarction letter comment
S824	Effect of quinolones on caffeine disposition
S825	Asymmetric proliferative diabetic retinopathy and carotid artery disease
S826	Comparison of rDNA and mtDNA in the sibling species Anopheles freeborni and A hermsi
S827	Molecular mapping of OspA mediated immunity against Borrelia burgdorferi the agent of Lyme disease
S828	Effect of age on changes in flow rates and airway conductance after a deep breath
S829	Death and functional outcome after spontaneous intracerebral hemorrhage A prospective study of 166 cases using multivariate analysis see comments
S830	Mumpsinduced opsoclonusmyoclonus and ataxia
S831	Donor seropositivity and prednisolone therapy as risk factors for cytomegalovirus infection and disease in cyclosporintreated renal allograft recipients
S832	Unusual opioid withdrawal syndrome A casereport
S833	Presence of HBV DNA and HBeAg in serum of an antiHBspositive individual letter
S834	Zinc effects on nickel dermatitis in the guinea pig
S835	Cloning and characterization of the isopenicillin N synthase gene of Streptomyces griseus NRRL 3851 and studies of expression and complementation of the cephamycin pathway in Streptomyces clavuligerus
S836	Molecular genetics A gene for Wilms tumour news
S837	Standardized terminology for hispanic populations
S838	Total body water estimated by measuring totalbody electrical conductivity
S839	Treatment of narcolepsy with Ltyrosine
S840	To publish or not to publish letter comment
